csarp,,,,,,ghsarp,,,,,,sfsarp,,,,
,Scenario ScSp,,Scenario McMp,,,,Scenario ScSp,,Scenario McMp,,,,Scenario ScSp,,Scenario McMp,
Name,Sol Value,Status,Sol Value,Status,,Name,Sol Value,Status,Sol Value,Status,,Name,Sol Value,Status,Sol Value,Status
sarp-8-6-B-1,46.919,Optimal,63.639,Optimal,,ghsarp-6-8-4,39.1397,Optimal,52.97,Optimal,,sfsarp-9-6-5,45.5065,Optimal,45.5972,Optimal
sarp-8-6-B-2,43.032,Optimal,50.379,Optimal,,ghsarp-6-8-5,37.3239,Optimal,59.5325,Optimal,,,,,,
sarp-8-6-C-1,75.773,Optimal,89.549,Optimal,,ghsarp-6-8-6,38.9665,Optimal,54.4523,Optimal,,,,,,
sarp-8-6-C-2,100.386,Optimal,107.04,Optimal,,ghsarp-6-8-7,33.6469,Optimal,48.4031,Optimal,,,,,,
sarp-8-7-A-1,25.514,Optimal,38.425,Optimal,,ghsarp-6-8-8,33.5129,Optimal,46.2131,Optimal,,,,,,
sarp-8-7-A-2,38.493,Optimal,48.937,Optimal,,ghsarp-6-8-9,43.2633,Optimal,66.501,Feasible,,,,,,
sarp-8-7-B-1,41.131,Optimal,62.873,Optimal,,ghsarp-6-9-0,33.0438,Optimal,57.1215,Feasible,,,,,,
sarp-8-7-B-2,46.24,Optimal,60.428,Optimal,,ghsarp-6-9-1,47.6568,Optimal,67.5966,Feasible,,,,,,
sarp-8-7-C-1,76.525,Optimal,92.198,Optimal,,ghsarp-6-9-2,36.5481,Optimal,58.1189,Feasible,,,,,,
sarp-8-7-C-2,132.928,Optimal,143.922,Optimal,,ghsarp-6-9-3,36.5369,Optimal,58.3801,Optimal,,,,,,
sarp-9-5-A-1,32.061,Optimal,41.031,Optimal,,ghsarp-6-9-4,31.6384,Optimal,51.3531,Optimal,,,,,,
sarp-9-5-A-2,43.194,Optimal,50.622,Optimal,,ghsarp-6-9-5,35.0977,Optimal,60.8523,Feasible,,,,,,
sarp-9-5-B-1,43.622,Optimal,56.272,Optimal,,ghsarp-6-9-6,39.5348,Optimal,56.8127,Optimal,,,,,,
sarp-9-5-B-2,51.603,Optimal,58.946,Optimal,,ghsarp-6-9-7,32.9278,Optimal,51.8552,Feasible,,,,,,
sarp-9-5-C-1,121.489,Optimal,133.653,Optimal,,ghsarp-6-9-8,46.0329,Optimal,75.2186,Optimal,,,,,,
sarp-9-5-C-2,109.795,Optimal,122.25,Optimal,,ghsarp-6-9-9,35.5662,Optimal,52.763,Optimal,,,,,,
sarp-9-6-A-1,30.599,Optimal,42.024,Optimal,,ghsarp-7-5-0,32.3464,Optimal,35.0516,Optimal,,,,,,
sarp-9-6-A-2,29.824,Optimal,39.592,Optimal,,ghsarp-7-5-1,22.6737,Optimal,31.6664,Optimal,,,,,,
sarp-9-6-B-1,40.842,Optimal,60.95,Optimal,,ghsarp-7-5-2,32.082,Optimal,42.2859,Optimal,,,,,,
sarp-9-6-B-2,44.972,Optimal,62.337,Feasible,,ghsarp-7-5-3,35.069,Optimal,39.8969,Optimal,,,,,,
sarp-9-6-C-1,118.921,Optimal,133.043,Optimal,,ghsarp-7-5-4,20.8218,Optimal,30.9491,Optimal,,,,,,
sarp-9-6-C-2,108.903,Optimal,124.561,Optimal,,ghsarp-7-5-5,33.0798,Optimal,34.5325,Optimal,,,,,,
,,,,,,ghsarp-7-5-6,32.7999,Optimal,35.5098,Optimal,,,,,,
,,,,,,ghsarp-7-5-7,43.8196,Optimal,52.4035,Optimal,,,,,,
,,,,,,ghsarp-7-5-8,28.8562,Optimal,40.1858,Optimal,,,,,,
,,,,,,ghsarp-7-5-9,38.3002,Optimal,42.0326,Optimal,,,,,,
,,,,,,ghsarp-7-6-0,32.0206,Optimal,43.7774,Optimal,,,,,,
,,,,,,ghsarp-7-6-1,32.41,Optimal,41.8533,Optimal,,,,,,
,,,,,,ghsarp-7-6-2,37.4218,Optimal,51.5353,Optimal,,,,,,
,,,,,,ghsarp-7-6-3,34.2433,Optimal,51.106,Optimal,,,,,,
,,,,,,ghsarp-7-6-4,49.3673,Optimal,53.0676,Optimal,,,,,,
,,,,,,ghsarp-7-6-5,35.8334,Optimal,44.4313,Optimal,,,,,,
,,,,,,ghsarp-7-6-6,32.354,Optimal,46.8515,Optimal,,,,,,
,,,,,,ghsarp-7-6-7,35.5777,Optimal,46.0307,Optimal,,,,,,
,,,,,,ghsarp-7-6-8,36.5865,Optimal,44.0974,Optimal,,,,,,
,,,,,,ghsarp-7-6-9,37.9857,Optimal,43.6171,Optimal,,,,,,
,,,,,,ghsarp-7-7-0,32.4324,Optimal,49.5225,Optimal,,,,,,
,,,,,,ghsarp-7-7-1,29.3348,Optimal,44.196,Feasible,,,,,,
,,,,,,ghsarp-7-7-2,31.8413,Optimal,39.6964,Optimal,,,,,,
,,,,,,ghsarp-7-7-3,29.8311,Optimal,45.9817,Feasible,,,,,,
,,,,,,ghsarp-7-7-4,37.7441,Optimal,48.8475,Feasible,,,,,,
,,,,,,ghsarp-7-7-5,32.2719,Optimal,51.7127,Feasible,,,,,,
,,,,,,ghsarp-7-7-6,30.5745,Optimal,45.9407,Feasible,,,,,,
,,,,,,ghsarp-7-7-7,33.7921,Optimal,43.197,Feasible,,,,,,
,,,,,,ghsarp-7-7-8,37.1144,Optimal,45.2165,Optimal,,,,,,
,,,,,,ghsarp-7-7-9,41.505,Optimal,65.4605,Feasible,,,,,,
,,,,,,ghsarp-7-8-0,45.7678,Optimal,60.8056,Feasible,,,,,,
,,,,,,ghsarp-7-8-1,46.9609,Optimal,69.2454,Optimal,,,,,,
,,,,,,ghsarp-7-8-2,32.8127,Optimal,56.0211,Feasible,,,,,,
,,,,,,ghsarp-7-8-3,34.9299,Optimal,53.535,Feasible,,,,,,
,,,,,,ghsarp-7-8-4,40.0301,Optimal,53.8184,Optimal,,,,,,
,,,,,,ghsarp-7-8-5,42.6256,Optimal,55.5282,Feasible,,,,,,
,,,,,,ghsarp-7-8-6,42.6144,Optimal,55.4248,Feasible,,,,,,
,,,,,,ghsarp-7-8-7,52.9663,Optimal,62.5174,Optimal,,,,,,
,,,,,,ghsarp-7-8-8,59.542,Optimal,76.6355,Optimal,,,,,,
,,,,,,ghsarp-7-8-9,35.2075,Optimal,50.5717,Optimal,,,,,,
,,,,,,ghsarp-8-5-0,37.1686,Optimal,47.4844,Optimal,,,,,,
,,,,,,ghsarp-8-5-1,30.8115,Optimal,38.6022,Optimal,,,,,,
